Program,county,lead_agency,partner_name,location_name,street_address,city,zip_code
PA Pre-K Counts,Montgomery,LEARN AND PLAY CENTERS INC,,PLAY AND LEARN CENTER-COLLEGEVILLE,35 EVANSBURG RD STE 2,COLLEGEVILLE,19426
PA Pre-K Counts,Montgomery,MONTGOMERY CNTY PRINCIPALS & INTERMEDIATE UNIT 23,,BRIDLE PATH ELEMENTARY SCHOOL,200 BRIDLE PATH RD,LANSDALE,19446
PA Pre-K Counts,Montgomery,CHILDREN OF AMERICA,CHILDREN OF AMERICA LANSDALE LLC,CHILDREN OF AMERICA,581 S BROAD ST,LANSDALE,19446
PA Pre-K Counts,Montgomery,MONTGOMERY CNTY PRINCIPALS & INTERMEDIATE UNIT 23,,DOCK MENNONITE HIGH SCHOOL,1000 FORTY FOOT RD,LANSDALE,19446
PA Pre-K Counts,Montgomery,LEARN AND PLAY CENTERS INC,,PLAY AND LEARN-LANSDALE,800 S BROAD ST,LANSDALE,19446
PA Pre-K Counts,Montgomery,CHILDREN OF AMERICA,CHILDREN OF AMERICA NORTH WALES LLC,CHILDREN OF AMERICA NORTH WALES LLC,1200 WESH ROAD BUILDING Q,N WALES,19454
PA Pre-K Counts,Montgomery,MONTGOMERY CNTY PRINCIPALS & INTERMEDIATE UNIT 23,,MONTGOMERY ELEMENTARY SCHOOL,1221 STUMP RD,NORTH WALES,19454
PA Pre-K Counts,Chester,CHESTER COUNTY INTERMEDIATE UNIT,,BARKLEY ELEMENTARY,320 2ND AVE,PHOENIXVILLE,19460
PA Pre-K Counts,Chester,GREATER PHILADELPHIA YMCA,,GPY PHOENIXVILLE EARLY LEARNING CENTER,400 E POTHOUSE RD,PHOENIXVILLE,19460
PA Pre-K Counts,Chester,CHESTER COUNTY INTERMEDIATE UNIT,,TCHS PICKERING,1580 CHARLESTOWN RD,PHOENIXVILLE,19460
PA Pre-K Counts,Montgomery,POTTSTOWN SCHOOL DISTRICT,,ELIZABETH B BARTH ELEMENTARY,467 W WALNUT STREET,POTTSTOWN,19464
PA Pre-K Counts,Montgomery,POTTSTOWN SCHOOL DISTRICT,,FRANKLIN ELEMENTARY,970 N FRANKLIN ST,POTTSTOWN,19464
PA Pre-K Counts,Montgomery,POTTSTOWN SCHOOL DISTRICT,GREATER PHILADELPHIA YMCA,GPY POTTSTOWN EARLY LEARNING CENTER,1000 HERITAGE DR,POTTSTOWN,19464
PA Pre-K Counts,Montgomery,GREATER PHILADELPHIA YMCA,,GPY POTTSTOWN EARLY LEARNING CENTER,1000 HERITAGE DR,POTTSTOWN,19464
PA Pre-K Counts,Montgomery,KUEHG CORP,,KINDERCARE LEARNING CENTER 3056,1550 INDUSTRIAL HWY,POTTSTOWN,19464
PA Pre-K Counts,Montgomery,POTTSTOWN SCHOOL DISTRICT,,LINCOLN ELEMENTARY,461 N YORK ST,POTTSTOWN,19464
PA Pre-K Counts,Montgomery,POTTSTOWN SCHOOL DISTRICT,,NORTH END EARLY LEARNING CENTER,940 N FRANKLIN ST,POTTSTOWN,19464
PA Pre-K Counts,Montgomery,POTTSTOWN SCHOOL DISTRICT,,POTTSTOWN SCHOOL DISTRICT PRE-K COUNTS,750 N WASHINGTON ST,POTTSTOWN,19464
PA Pre-K Counts,Montgomery,POTTSTOWN SCHOOL DISTRICT,,RUPERT ELEMENTARY,1230 SOUTH ST,POTTSTOWN,19464
PA Pre-K Counts,Montgomery,POTTSTOWN SCHOOL DISTRICT,WONDERSPRING,WONDERSPRING POTTSTOWN,150 N HANOVER ST,POTTSTOWN,19464
PA Pre-K Counts,Montgomery,YWCA TRI COUNTY AREA,,YWCA POTTSTOWN READY SET GROW,315 KING ST,POTTSTOWN,19464
PA Pre-K Counts,Montgomery,YWCA TRI COUNTY AREA,,YWCA TRI COUNTY AREA FBC,301 KING ST,POTTSTOWN,19464
PA Pre-K Counts,Chester,OWEN T ROBERTS SCHOOL DISTRICT,WARWICK CHILD CARE CENTER INC,WARWICK CHILD CARE,16 E CEDARVILLE RD,POTTSTOWN,19465
PA Pre-K Counts,Chester,WARWICK CHILD CARE CENTER INC,,WARWICK CHILD CARE,16 E CEDARVILLE RD,POTTSTOWN,19465
PA Pre-K Counts,Chester,OWEN T ROBERTS SCHOOL DISTRICT,WARWICK CHILD CARE CENTER INC,WARWICK CHILD CARE CENTER,1190 RIDGE RD,POTTSTOWN,19465
PA Pre-K Counts,Chester,WARWICK CHILD CARE CENTER INC,,WARWICK CHILD CARE CENTER,1190 RIDGE RD,POTTSTOWN,19465
PA Pre-K Counts,Chester,POTTSTOWN SCHOOL DISTRICT,WARWICK CHILD CARE CENTER INC,WARWICK DAY CARE CENTER,145 W URNER ST,POTTSTOWN,19465
PA Pre-K Counts,Chester,WARWICK CHILD CARE CENTER INC,,WARWICK DAY CARE CENTER,145 W URNER ST,POTTSTOWN,19465
PA Pre-K Counts,Montgomery,LEARN AND PLAY CENTERS INC,,PLAY AND LEARN ROYERSFORD,1600 BLACK ROCK RD,ROYERSFORD,19468
PA Pre-K Counts,Montgomery,MONTGOMERY CNTY PRINCIPALS & INTERMEDIATE UNIT 23,,PERKIOMEN VALLEY MS WEST,220 BIG RD,ZIEGLERVILLE,19492
PA Pre-K Counts,Lancaster,LANCASTER-LEBANON INTERMEDIATE UNIT 13,CAP OF LANCASTER COUNTY,ADAMSTOWN ELEMENTARY SCHOOL,256 W MAIN ST,ADAMSTOWN,19501
PA Pre-K Counts,Berks,BOYERTOWN AREA SCHOOL DISTRICT,,WASHINGTON ELEMENTARY,1406 ROUTE 100,BARTO,19504
PA Pre-K Counts,Berks,BERKS COMMUNITY ACTION PROGRAM,LIVE N LEARN SMILE CENTER INC,LIVE N LEARN SMILE CENTER,326 W MAIN ST,BIRDSBORO,19508
PA Pre-K Counts,Berks,BOYERTOWN AREA SCHOOL DISTRICT,,BOYERTOWN SENIOR HIGH,120 N MONROE ST,BOYERTOWN,19512
PA Pre-K Counts,Chester,CHESTER COUNTY INTERMEDIATE UNIT,THE WHOLE CHILD LEARNING CENTER INC,THE WHOLE CHILD LEARNING CENTER INC,55 N BRICK LN,ELVERSON,19520
PA Pre-K Counts,Berks,BERKS COMMUNITY ACTION PROGRAM,TOUCHING THE FUTURE LLC,TOUCHING THE FUTURE LLC,109 W VINE ST,FLEETWOOD,19522
PA Pre-K Counts,Berks,BERKS COUNTY INTERMEDIATE UNIT 14,TOUCHING THE FUTURE LLC,TOUCHING THE FUTURE LLC,109 W VINE ST,FLEETWOOD,19522
PA Pre-K Counts,Montgomery,GREATER PHILADELPHIA YMCA,,GPY GILBERTSVILLE EARLY LEARNING CENTER,144 HOLLY RD,GILBERTSVILLE,19525
PA Pre-K Counts,Berks,BERKS COUNTY INTERMEDIATE UNIT 14,,TILDEN ELEMENTARY,524 W STATE ST,HAMBURG,19526
PA Pre-K Counts,Berks,BERKS COMMUNITY ACTION PROGRAM,DW DAYCARE LLC,LITTLE MATES CHILD DEVELOPMENT CENTER,3025 NORTH ST,MORGANTOWN,19543
PA Pre-K Counts,Berks,OLEY VALLEY SCHOOL DISTRICT,,OLEY VALLEY ELEMENTARY SCHOOL,3257 FRIEDENSBURG RD,OLEY,19547
PA Pre-K Counts,Berks,BERKS COUNTY INTERMEDIATE UNIT 14,BRANDYWINE HEIGHTS AREA SCHOOL DISTRICT,BRANDYWINE HEIGHTS ELEMENTARY SCHOOL,445 W BARKLEY ST,TOPTON,19562
PA Pre-K Counts,Berks,BERKS COUNTY INTERMEDIATE UNIT 14,,BCIU LEARNING CENTER AT BETHANY CHILDRENS HOME,1863 BETHANY RD,WOMELSDORF,19567
PA Pre-K Counts,Berks,BERKS COUNTY INTERMEDIATE UNIT 14,READING SCHOOL DISTRICT,10TH & PENN ELEMENTARY SCHOOL,955 PENN ST,READING,19601
PA Pre-K Counts,Berks,BERKS COUNTY INTERMEDIATE UNIT 14,READING SCHOOL DISTRICT,GLENSIDE ELEMENTARY,400 LACKAWANNA ST,READING,19601
PA Pre-K Counts,Berks,BERKS COUNTY INTERMEDIATE UNIT 14,,ST. PAUL'S CHURCH,131 N 9TH ST,READING,19601
PA Pre-K Counts,Berks,OPPORTUNITY HOUSE,,THE SECOND STREET LEARNING CENTER,430 N 2ND ST,READING,19601
PA Pre-K Counts,Berks,YMCA OF READING AND BERKS COUNTY,,YMCA DAY CARE,631 WASHINGTON ST,READING,19601
PA Pre-K Counts,Berks,PATHSTONE CORPORATION,,BERKS COUNTY FAMILY DEVELOPMENT CENTER,121 S 2ND ST,READING,19602
PA Pre-K Counts,Berks,BERKS COMMUNITY ACTION PROGRAM,LIVE N LEARN STATION INC,LIVE N LEARN STATION,135 S 5TH ST,READING,19602
PA Pre-K Counts,Berks,BERKS COUNTY INTERMEDIATE UNIT 14,READING SCHOOL DISTRICT,TYSON-SCHOENER ELEMENTARY SCHOOL,315 S 5TH ST,READING,19602
PA Pre-K Counts,Berks,BERKS COUNTY INTERMEDIATE UNIT 14,,BCIU LEARNING CENTER AT MUHLENBERG ELEMENTARY CENT,610 SHARP AVE,READING,19605
PA Pre-K Counts,Berks,BERKS COUNTY INTERMEDIATE UNIT 14,,BCIU LEARNING CENTER AT THE EDUCATION CENTRE,2101 CENTRE AVE,READING,19605
PA Pre-K Counts,Berks,BERKS COUNTY INTERMEDIATE UNIT 14,THE JOURNEY FELLOWSHIP,CHILDRENS JOURNEY,600 ALTON AVE,READING,19605
PA Pre-K Counts,Berks,CALVARY CHURCH OF THE NAZARENE,,RIVERVIEW CHRISTIAN EARLY LEARNING CENTER,3301 STOUDTS FERRY BRIDGE,READING,19605
PA Pre-K Counts,Berks,BERKS COUNTY INTERMEDIATE UNIT 14,,BCIU LEARNING CENTER AT LOWER ALSACE,705 FRIEDENSBURG RD,READING,19606
PA Pre-K Counts,Berks,BERKS COUNTY INTERMEDIATE UNIT 14,,OWATIN CREEK ELEMENTARY,5000 BOYERTOWN PIKE,READING,19606
PA Pre-K Counts,Berks,GOVERNOR MIFFLIN SCHOOL DISTRICT,,GOVERNOR MIFFLIN SCHOOL DISTRICT,10 S WAVERLY ST,SHILLINGTON,19607
PA Pre-K Counts,Berks,WILSON SCHOOL DISTRICT,,WILSON SCHOOL DISTRICT CORNWALL TERRACE CENTER,3100 IROQUOIS AVE,READING,19608
PA Pre-K Counts,Berks,BERKS COUNTY INTERMEDIATE UNIT 14,,BCIU LEARNING CENTER AT WYOMISSING HILLS ELEM,110 WOODLAND RD,READING,19610
PA Pre-K Counts,Berks,WILSON SCHOOL DISTRICT,,WILSON SCHOOL DISTRICT CHILD CARE-BERKSHIRE HEIGHT,711 N WYOMISSING BLVD,READING,19610
